Normal_ENG,Normal_m,Normal_Deep,Simple_ENG,Simple_m,Simple_Deep
"Tropical Storm Zeta was a late-developing tropical storm over the central Atlantic which formed after the 2005 Atlantic hurricane season had officially ended , and continued into January .
","Tropical Storm Zeta è stata una tempesta tropicale in ritardo sviluppo sull'Atlantico centrale che si è formata dopo la stagione dell'uragano Atlantico 2005 era ufficialmente terminata , e ha continuato a gennaio .","La tempesta tropicale Zeta è stata una tempesta tropicale a sviluppo tardivo sull'Atlantico centrale, formatasi dopo la fine ufficiale della stagione degli uragani atlantici del 2005 e proseguita fino a gennaio.
","Tropical Storm Zeta was the twenty-eighth and last storm of the 2005 Atlantic hurricane season .
",Tempesta tropicale Zeta è stato il ventottosimo e l'ultima tempesta della stagione dell'uragano Atlantico 2005.,"La tempesta tropicale Zeta è stata la ventottesima e ultima tempesta della stagione atlantica 2005.
"
"A hellhound is a supernatural dog , found in mythology , folklore and fiction .
","Un segugio infernale è un cane soprannaturale, trovato nella mitologia, nel folklore e nella finzione.","Il segugio infernale è un cane soprannaturale, presente nella mitologia, nel folklore e nella narrativa.
","A hellhound is a supernatural dog , found in mythology , folklore and fiction .
","Un segugio infernale è un cane soprannaturale, trovato nella mitologia, nel folklore e nella finzione.","Il segugio infernale è un cane soprannaturale, presente nella mitologia, nel folklore e nella narrativa.
"
"Greene agreed that she could earn more by breaking away from 20th Century Fox .
",Greene ha convenuto che potrebbe guadagnare di più rompendo da 20th Century Fox.,"Greene era d'accordo sul fatto che avrebbe potuto guadagnare di più staccandosi dalla 20th Century Fox.
","Greene agreed that she could earn more by leaving 20th Century Fox .
",Greene ha convenuto che potrebbe guadagnare di più lasciando 20th Century Fox .,"Greene ha convenuto che avrebbe potuto guadagnare di più lasciando la 20th Century Fox.
"
"The glacier flows at a rate of 20 - per day , resulting in around 20 billion tonnes of icebergs calved off and passing out of the fjord every year . Icebergs breaking from the glacier are often so large that they are too tall to float down the fjord and lie stuck on the bottom of its shallower areas , sometimes for years , until they are broken up by the force of the glacier and icebergs further up the fjord .
","Il ghiacciaio scorre ad un ritmo di 20 - al giorno , risultando in circa 20 miliardi di tonnellate di iceberg scolpiti e sfilando fuori dal fiordo ogni anno . Icebergs che si staccano dal ghiacciaio sono spesso così grandi che sono troppo alti per galleggiare giù dal fiordo e si trovano bloccati sul fondo delle sue zone più basse , a volte per anni , fino a quando non vengono disgregati dalla forza del ghiacciaio e icebergs più in alto il fiordo .","Il ghiacciaio scorre a un ritmo di 20 tonnellate al giorno, con il risultato che circa 20 miliardi di tonnellate di iceberg si staccano e passano fuori dal fiordo ogni anno. Gli iceberg che si staccano dal ghiacciaio sono spesso così grandi che sono troppo alti per galleggiare lungo il fiordo e rimangono bloccati sul fondo delle aree meno profonde, a volte per anni, fino a quando non vengono spezzati dalla forza del ghiacciaio e degli iceberg che risalgono il fiordo.
","The glacier flows at a rate of 20-35 metres per day , resulting in around 20 billion tons of icebergs breaking off and leaving the fjord every year .
","Il ghiacciaio scorre ad una velocità di 20-35 metri al giorno , con conseguente circa 20 miliardi di tonnellate di iceberg che si staccano e lasciano il fiordo ogni anno .","Il ghiacciaio scorre a un ritmo di 20-35 metri al giorno, con il risultato che ogni anno circa 20 miliardi di tonnellate di iceberg si staccano e lasciano il fiordo.
"
"Brightness and hope and devotion . ''
","Luminosità, speranza e devozione.","Luminosità, speranza e devozione. ''
","Brightness and hope and devotion . ''
","Luminosità, speranza e devozione.","Luminosità, speranza e devozione. ''
"
"The population was 144 at the 2000 census .
",La popolazione al censimento del 2000 era di 144 abitanti.,"La popolazione era di 144 abitanti al censimento del 2000.
","The population was 144 .
",==Evoluzione demografica==== Altri progetti ==== Note ==,"La popolazione era di 144 persone.
"
"Founding members of the Premier League are shown in italics .
",I membri fondatori della Premier League sono mostrati in corsivo.,"I membri fondatori della Premier League sono indicati in corsivo.
","Founding members of the Premier League are shown in italics .
",I membri fondatori della Premier League sono mostrati in corsivo.,"I membri fondatori della Premier League sono indicati in corsivo.
"
"The areas to show ` white ' are cut away with a knife or chisel , leaving the characters or image to show in ` black ' at the original surface level .
","Le aree da mostrare sono tagliate via con un coltello o uno scalpello, lasciando i caratteri o l'immagine da mostrare in nero al livello di superficie originale.","Le aree da mostrare ""bianche"" vengono tagliate via con un coltello o uno scalpello, lasciando i caratteri o l'immagine in ""nero"" al livello della superficie originale.
","The areas that will show ` white ' are cut away with a knife or chisel . This leaves behind the image to show in ` black ' at the original surface level .
",Le aree che mostreranno il bianco sono tagliate via con un coltello o uno scalpello. Questo lascia alle spalle l'immagine da mostrare in nero al livello di superficie originale.,"Le aree che mostreranno il ""bianco"" vengono tagliate via con un coltello o uno scalpello. Questo lascia dietro di sé l'immagine da mostrare in ""nero"" al livello della superficie originale.
"
"Grand View is a city in Owyhee County , Idaho , United States .
","Grand View è una città degli Stati Uniti d'America , capoluogo della contea di Owyhee.","Grand View è una città della contea di Owyhee, nell'Idaho, negli Stati Uniti.
","Grand View is a city of Idaho in the United States .
",Grand View è una città dell'Idaho negli Stati Uniti.,"Grand View è una città dell'Idaho, negli Stati Uniti.
"
"The quartet has also performed at the Vienna Musikverein and the Amsterdam Concertgebouw .
",Il quartetto si è esibito anche al Musikverein di Vienna e al Concertgebouw di Amsterdam.,"Il quartetto si è esibito anche al Musikverein di Vienna e al Concertgebouw di Amsterdam.
","The quartet has also performed at the Vienna Musikverein and the Amsterdam Concertgebouw .
",Il quartetto si è esibito anche al Musikverein di Vienna e al Concertgebouw di Amsterdam.,"Il quartetto si è esibito anche al Musikverein di Vienna e al Concertgebouw di Amsterdam.
"
"Hurricane Ivan was the 10th most intense Atlantic hurricane ever recorded . The cyclone was also the sixth hurricane and the fourth major hurricane of the active 2004 Atlantic hurricane season .
",L'uragano Ivan è stato il 10 ° uragano Atlantico più intenso mai registrato . Il ciclone è stato anche il sesto uragano e il quarto uragano maggiore della stagione attiva 2004 uragano Atlantico .,"L'uragano Ivan è stato il decimo uragano atlantico più intenso mai registrato. Il ciclone è stato anche il sesto uragano e il quarto uragano maggiore della stagione attiva degli uragani atlantici del 2004.
","Hurricane Ivan was the strongest hurricane of the 2004 Atlantic hurricane season .
",L'uragano Ivan è stato l'uragano più forte della stagione 2004 dell'uragano atlantico.,"L'uragano Ivan è stato il più forte uragano della stagione atlantica 2004.
"
"Tracy killed 71 people , caused $ 837 million in damage and destroyed more than 70 percent of Darwin 's buildings , including 80 percent of houses .
","Tracy ha ucciso 71 persone, ha causato 837 milioni di dollari in danni e distrutto più del 70 per cento degli edifici di Darwin, tra cui l'80% delle case.","Tracy uccise 71 persone, causò 837 milioni di dollari di danni e distrusse più del 70% degli edifici di Darwin, compreso l'80% delle case.
","Tracy killed 71 people , caused $ 837 million in damage and destroyed more than 70 % of Darwin 's buildings , including 80 % of the houses .
","Tracy ha ucciso 71 persone , ha causato 837 milioni di dollari in danni e distrutto oltre il 70 per cento degli edifici di Darwin , di cui 80 per cento delle case .","Tracy uccise 71 persone, causò 837 milioni di dollari di danni e distrusse più del 70% degli edifici di Darwin, compreso l'80% delle case.
"
"The British Rail Class 360 electric multiple units were built by Siemens in two sub-types from 2002-2003 and 2004-2005 .
",Le unità multiple elettriche British Rail Class 360 sono state costruite da Siemens in due sottotipi tra il 2002-2003 e il 2004-2005 .,"Le unità multiple elettriche British Rail Class 360 sono state costruite da Siemens in due sottotipi dal 2002-2003 e dal 2004-2005.
","The British Rail Class 360 electric multiple units were built by Siemens in two sub-types from 2000-2005 .
",Le unità multiple elettriche British Rail Class 360 sono state costruite da Siemens in due sottotipi tra il 2000 e il 2005 .,"Le unità multiple elettriche British Rail Class 360 sono state costruite da Siemens in due sottotipi dal 2000 al 2005.
"
"It rapidly intensified into Tropical Storm Marco with 65 mph winds that afternoon .
",Si è rapidamente intensificato in Tempesta Tropicale Marco con venti di 65 mph quel pomeriggio.,"Nel pomeriggio si è rapidamente intensificata fino a diventare la Tempesta Tropicale Marco, con venti di 65 miglia orarie.
","It quickly strengthened into Tropical Storm Marco with 65 mph winds that afternoon .
",Si è rapidamente rafforzato in Tempesta Tropicale Marco con venti di 65 mph quel pomeriggio.,"Nel pomeriggio si è rapidamente rafforzata fino a diventare la tempesta tropicale Marco, con venti di 65 miglia orarie.
"
"Sergio Rodríguez García , aka Rodri , is a Spanish footballer currently playing for Hércules CF , mainly as a central defender .
","Sergio Rodríguez García , detto anche Rodri , è un calciatore spagnolo che attualmente gioca per Hércules CF , principalmente come difensore centrale .","Sergio Rodríguez García, in arte Rodri, è un calciatore spagnolo che attualmente gioca nell'Hércules CF, principalmente come difensore centrale.
","Sergio Rodríguez García is a Spanish football player . He plays for Hércules .
",Sergio Rodríguez García è un calciatore spagnolo. Gioca per Hércules.,"Sergio Rodríguez García è un calciatore spagnolo. Gioca per l'Hércules .
"
"Many are fitted with highly modified Volkswagen engines and a few home-built hybrids have Ford Pinto engine , Chevrolet Corvair , Porsche , Mazda , Subaru or other four - to eight-cylinder water-cooled engines .
","Molti sono dotati di motori Volkswagen altamente modificati e alcuni ibridi costruiti in casa hanno Ford Pinto motore, Chevrolet Corvair, Porsche, Mazda, Subaru o altri quattro - a otto cilindri raffreddati ad acqua.","Molti sono dotati di motori Volkswagen altamente modificati e alcuni ibridi costruiti in casa hanno motori Ford Pinto, Chevrolet Corvair, Porsche, Mazda, Subaru o altri motori da quattro a otto cilindri raffreddati ad acqua.
","Many are fitted with highly modified Volkswagen engines and a few have engines from such cars as the Ford Pinto , Chevrolet Corvair , Porsche , Mazda , Subaru or other four - to eight-cylinder water-cooled engines .
","Molti sono dotati di motori Volkswagen altamente modificati e alcuni hanno motori da auto come la Ford Pinto , Chevrolet Corvair , Porsche , Mazda , Subaru o altri quattro - a otto cilindri di motori raffreddati ad acqua .","Molte sono dotate di motori Volkswagen altamente modificati e alcune hanno motori provenienti da auto come Ford Pinto, Chevrolet Corvair, Porsche, Mazda, Subaru o altri motori da quattro a otto cilindri raffreddati ad acqua.
"
"In 1962 , Steinbeck received the Nobel Prize for Literature .
","Nel 1962, Steinbeck ricevette il Premio Nobel per la letteratura.","Nel 1962 Steinbeck riceve il premio Nobel per la letteratura.
","Steinbeck won the Nobel Prize in Literature in 1962 .
",Steinbeck vinse il Premio Nobel per la letteratura nel 1962.,"Steinbeck ha vinto il premio Nobel per la letteratura nel 1962.
"
"Weighing 65 pounds , and standing 3 feet 7 inches tall , he became the shortest player in the history of the major leagues .
","Pesando 65 libbre , e in piedi 3 piedi 7 pollici di altezza , è diventato il giocatore più corto nella storia dei campionati principali .","Con un peso di 65 libbre e un'altezza di 3 piedi e 7 pollici, divenne il giocatore più basso nella storia delle Major League.
","Weighing just 65 pounds , and 3 feet 7 inches tall , he became the shortest player in the history of the major league baseball .
","Pesando appena 65 libbre, e 3 piedi 7 pollici di altezza, è diventato il giocatore più corto nella storia della grande lega di baseball.","Con un peso di appena 65 libbre e un'altezza di 3 piedi e 7 pollici, divenne il giocatore più basso nella storia della Major League di baseball.
"
"It is administered by the United States Secretary of Veterans Affairs .
",È amministrato dal Segretario degli Stati Uniti per gli Affari dei Veterani.,"È amministrato dal Segretario degli Affari dei Veterani degli Stati Uniti.
","It is administered by the United States Secretary of Veterans Affairs .
",È amministrato dal Segretario degli Stati Uniti per gli Affari dei Veterani.,"È amministrato dal Segretario degli Affari dei Veterani degli Stati Uniti.
"
"For the next two days , the city of Amritsar was quiet , but violence continued in other parts of the Punjab .
","Per i due giorni successivi, la città di Amritsar era tranquilla, ma la violenza continuò in altre parti del Punjab.","Per i due giorni successivi, la città di Amritsar è rimasta tranquilla, ma la violenza è continuata in altre parti del Punjab.
","For the next two days , the city of Amritsar was quiet , but violence continued in other parts of the Punjab .
","Per i due giorni successivi, la città di Amritsar era tranquilla, ma la violenza continuò in altre parti del Punjab.","Per i due giorni successivi, la città di Amritsar è rimasta tranquilla, ma la violenza è continuata in altre parti del Punjab.
"
"Endemic types or species are especially likely to develop on islands because of their geographical isolation .
",I tipi o le specie endemiche sono particolarmente suscettibili di svilupparsi sulle isole a causa del loro isolamento geografico .,"I tipi o le specie endemiche hanno una particolare probabilità di svilupparsi sulle isole a causa del loro isolamento geografico.
","Endemic types are most likely to develop on islands because they are isolated .
",I tipi endemici sono più suscettibili di svilupparsi sulle isole perché sono isolati .,"I tipi endemici hanno maggiori probabilità di svilupparsi sulle isole perché sono isolati.
"
"John Kilner invented the Kilner jar along with his associates . He later founded the John Kilner & Co glass company in 1842 that produced this jar .
",John Kilner inventò il barattolo Kilner insieme ai suoi associati. In seguito fondò la società di vetro John Kilner & Co nel 1842 che produsse questo barattolo.,"John Kilner inventò il barattolo Kilner insieme ai suoi collaboratori. In seguito, nel 1842, fondò l'azienda vetraria John Kilner & Co, che produceva questo vaso.
","A Kilner jar is a jar that has a rubber ring to seal the top .
",Un barattolo Kilner è un barattolo che ha un anello di gomma per sigillare la parte superiore.,"Un barattolo Kilner è un barattolo dotato di un anello di gomma per sigillare la parte superiore.
"
"The names of all four satellites of Uranus then known were suggested by Herschel 's son John in 1852 , at the request of William Lassell , who had discovered the other two moons , Ariel and Umbriel , the year before .
","I nomi di tutti e quattro i satelliti di Urano allora conosciuti sono stati suggeriti dal figlio di Herschel Giovanni nel 1852, su richiesta di William Lassell, che aveva scoperto le altre due lune, Ariel e Umbriel, l'anno prima.","I nomi di tutti e quattro i satelliti di Urano allora conosciuti furono suggeriti dal figlio di Herschel, John, nel 1852, su richiesta di William Lassell, che aveva scoperto le altre due lune, Ariel e Umbriel, l'anno precedente.
","The names of Titania and the other four moons of Uranus then known were suggested by Herschel 's son John Herschel in 1852 at the request of William Lassell , who had found Ariel and Umbriel the year before .
","I nomi di Titania e le altre quattro lune di Urano allora conosciute sono stati suggeriti dal figlio di Herschel ' John Herschel nel 1852 su richiesta di William Lassell, che aveva trovato Ariel e Umbriel l'anno prima.","I nomi di Titania e delle altre quattro lune di Urano allora conosciute furono suggeriti dal figlio di Herschel, John Herschel, nel 1852 su richiesta di William Lassell, che aveva trovato Ariel e Umbriel l'anno precedente.
"
"Thomas Eastoe Abbott was an English poet .
",Thomas Eastoe Abbott era un poeta inglese.,"Thomas Eastoe Abbott è stato un poeta inglese.
","Thomas Eastoe Abbott was an English poet , born in East Dereham , Norfolk .
","Thomas Eastoe Abbott è stato un poeta inglese, nato a East Dereham, Norfolk.","Thomas Eastoe Abbott è stato un poeta inglese, nato a East Dereham, Norfolk.
"
"The term pansori is derived from pan , and sori .
","Il termine pansori deriva da pan, e sori.","Il termine pansori deriva da pan e sori.
","` Pan ' in pansori means ' a place where many people gather ' , and ` sori ' means ` sound ' .
","""Pan"" in ""pansori"" significa ""un luogo in cui molte persone si riuniscono "" , e ""sori"" in ""suono"" in ""suono.""","Pan"" in pansori significa ""un luogo dove si riuniscono molte persone"" e ""sori"" significa ""suono"".
"
"Formed in 1992 , Bloodhound Gang has sold more than 6 million albums .
","Formata nel 1992, Bloodhound Gang ha venduto più di 6 milioni di album.","Formatisi nel 1992, i Bloodhound Gang hanno venduto più di 6 milioni di album.
","The Bloodhound Gang has sold more than 6 million albums .
",The Bloodhound Gang ha venduto più di 6 milioni di album.,"La Bloodhound Gang ha venduto più di 6 milioni di album.
"
"Sometimes , it is considered a lack of a sexual orientation . One commonly cited study placed the incidence rate of asexuality at 1 % .
","A volte , è considerato una mancanza di un orientamento sessuale . Uno studio comunemente citato ha posto il tasso di incidenza di asessualità al 1 % .","A volte è considerata una mancanza di orientamento sessuale. Secondo uno studio comunemente citato, il tasso di incidenza dell'asessualità è pari all'1%.
","Asexuality is a sexual orientation .
",L'asessualità è un orientamento sessuale.,"L'asessualità è un orientamento sessuale.
"
"In the European Middle Ages , the herb was placed beneath pillows to aid sleep and ward off nightmares .
","Nel Medioevo europeo, l'erba è stata posta sotto i cuscini per aiutare il sonno e prevenire gli incubi.","Nel Medioevo europeo, l'erba veniva posta sotto i cuscini per favorire il sonno e allontanare gli incubi.
","In the European Middle Ages , the herb was placed under pillows . This was done to help sleep and ward off nightmares . .
","Nel Medioevo europeo , l'erba è stata posta sotto i cuscini . Questo è stato fatto per aiutare il sonno e prevenire gli incubi . .","Nel Medioevo europeo, l'erba veniva posta sotto i cuscini. Questo veniva fatto per favorire il sonno e allontanare gli incubi. .
"
"In Demand would show movies , concerts , and other events , with prices ranging from $ 3.99 to $ 49.99 , while HBO and Showtime , with their legs TVKO and SET Pay Per View , would offer championship boxing with prices ranging from $ 14.99 to $ 54.99 .
","In Demand sarebbe mostrare film , concerti , e altri eventi , con prezzi che vanno da $ 3,99 a $ 49,99 , mentre HBO e Showtime , con le loro gambe TVKO e SET Pay Per View , sarebbe offrire campionato di boxe con prezzi che vanno da $ 14,99 a $ 54,99 .","In Demand avrebbe mostrato film, concerti e altri eventi, con prezzi che andavano da 3,99 a 49,99 dollari, mentre HBO e Showtime, con le loro gambe TVKO e SET Pay Per View, avrebbero offerto campionati di boxe con prezzi che andavano da 14,99 a 54,99 dollari.
","In Demand would show movies , concerts , and other events at prices between $ 3.99 to $ 49.99 . HBO and Showtime would offer championship boxing , with prices between $ 14.99 to $ 54.99 .
","In Demand sarebbe mostrare filmati , concerti , e altri eventi a prezzi tra $ 3,99 a $ 49,99 . HBO e Showtime sarebbe offrire campionato di boxe , con prezzi tra $ 14,99 a $ 54,99 .","In Demand mostrerebbe film, concerti e altri eventi a prezzi compresi tra 3,99 e 49,99 dollari. HBO e Showtime offrirebbero campionati di boxe, con prezzi compresi tra 14,99 e 54,99 dollari.
"
"Southampton Tramways were mainly affected by staffing issues during World War I. With the introduction of female `` conductorettes '' .
","Southampton Tramways sono stati colpiti principalmente da problemi di personale durante la prima guerra mondiale. Con l'introduzione di donne conductorettes '"" .","Le Southampton Tramways furono principalmente interessate da problemi di personale durante la prima guerra mondiale. Con l'introduzione di ``conduttrici'' femminili.
","Southampton Tramways were mainly affected by staffing issues during World War I. To try and stop this women were allowed to become `` conductorettes '' .
","Southampton Tramways sono stati colpiti principalmente da problemi di staff durante la prima guerra mondiale. Per cercare di fermare queste donne sono stati autorizzati a diventare conductorettes '"" .","Le Southampton Tramways furono colpite soprattutto da problemi di personale durante la prima guerra mondiale. Per cercare di fermare questo fenomeno, alle donne fu permesso di diventare ""conduttrici"".
"
"Albacete Balompié , S.A.D. is a Spanish football team based in Albacete , in the autonomous community of Castile-La Mancha .
","Albacete Balompié , S.A.D. è una squadra di calcio spagnola con sede ad Albacete , nella comunità autonoma di Castiglia-La Mancia .","L'Albacete Balompié , S.A.D. è una squadra di calcio spagnola con sede ad Albacete , nella comunità autonoma di Castiglia-La Mancia .
","Albacete Balompié is a football club which plays in Spain .
",Albacete Balompié è una società calcistica spagnola.,"L'Albacete Balompié è una società calcistica che gioca in Spagna.
"
"Momentum is a conserved quantity , meaning that the total momentum of any closed system can not change .
","Momentum è una quantità conservata, il che significa che lo slancio totale di qualsiasi sistema chiuso non può cambiare.","La quantità di moto è una grandezza conservata, il che significa che la quantità di moto totale di qualsiasi sistema chiuso non può cambiare.
","Momentum is a conserved quantity . This means that the total amount of momentum in a closed system never changes .
",Momentum è una quantità conservata. Ciò significa che la quantità totale di slancio in un sistema chiuso non cambia mai.,"La quantità di moto è una grandezza conservata. Ciò significa che la quantità totale di quantità di moto in un sistema chiuso non cambia mai.
"
"Saint-Jean-de-Monts is a commune in the Vendée department in the Pays de la Loire region in western France .
",Saint-Jean-de-Monts è un comune francese di 446 abitanti situato nel dipartimento della Vendée nella regione dei Paesi della Loira.,"Saint-Jean-de-Monts è un comune del dipartimento della Vandea, nella regione dei Pays de la Loire, nella Francia occidentale.
","Saint-Jean-de-Monts is a commune . It is found in the region Pays de la Loire in the Vendée department in the west of France .
",Saint-Jean-de-Monts è un comune francese di 477 abitanti situato nel dipartimento della Vendée nella regione dei Paesi della Loira.,"Saint-Jean-de-Monts è un comune. Si trova nella regione Pays de la Loire, nel dipartimento della Vandea, nella Francia occidentale.
"
