Normal,Simple,SARI,METEOR,ROUGE_F,BLEU,SPEARMAN_CORRELATION,PEARSON_CORRELATION
7 ) Sono laureato in giurisprudenza,7 Sono laureata in giurisprudenza,29.6296,0.535,0.2222,20.8,0,0
ma che razza di posto è questo,Che razza di posto è questo,100.0,0.9977,1.0,100.0,0,0
Non arriveremmo da nessuna parte,Ma così non arriveremo da nessuna parte,66.6667,0.6148,0.3636,26.3,0,0
Qui di seguito ne riportiamo i punti salienti,Ne riportiamo di seguito i punti principali,32.2619,0.7311,0.3636,15.6,0,0
Vediamo come andrà a finire,Vediamo come andrà a finire,60.1058,0.6727,0.6667,54.8,0,0
abrogata ogni altra disposizione incompatibile con le norme del presente decreto,è abrogata ogni altra disposizione incompatibile con le norme del presente decreto,100.0,0.9997,1.0,90.4,0,0
"Il bello , però , dovrà ancora venire",Il bello però deve ancora venire,47.7778,0.7353,0.4444,23.0,0,0
L' anno prossimo si vedrà,L'anno prossimo l'anno vedrà,47.9167,0.1724,0.0,11.5,0,0
Quali sono le ragioni della scelta,Quali sono le ragioni di questa scelta,70.9722,0.8757,0.7692,61.3,0,0
Questa è una guerra,Questa è una guerra immorale,66.6667,0.7938,0.6667,66.9,0,0
naturalmente questa è solo una goccia in un oceano,Ma erano gocce in un oceano,23.9087,0.1042,0.0,5.9,0,0
"Posto ai voti , è approvato l' articolo 2",L'articolo 2 viene posto ai voti e approvato,28.4936,0.5011,0.5714,13.1,0,0
"Beh , comunque questa è solo la mia discutibile opinione",Però questa è solo la mia misera opinione personale,60.2742,0.7683,0.3636,31.6,0,0
"Ai richiedenti residenti nelle vie della Circoscrizione di Gardolo riportate nel prospetto allegato, verrà attribuito in automatico come nido di prima scelta oltre al nido Aquilone anche il nido di Lavis","Ai richiedenti residenti nelle vie della Circoscrizione di Gardolo riportato nel prospetto allegato, verrà attribuito in automatico come nido di prima scelta oltre al nido di Lavis anche il nido di LAvis",32.878,0.8939,0.7869,73.5,0,0
"C' è un problema , tuttavia",C'è un piccolo problema,22.7778,0.7014,0.2857,11.5,0,0
È evidentemente una questione di gusti,ma è una questione i gusti,36.2963,0.7353,0.2857,32.5,0,0
La legge non dovrebbe essere uguale per tutti,o la legge NON è uguale per tutti,89.3056,0.8737,0.8333,41.1,0,0
Comunque questo sarebbe il primo passo,È solo il primo passo,57.9365,0.5515,0.25,15.8,0,0
Ma anche questa non è una grande scoperta,Non è una nostra scoperta originale,38.3796,0.7353,0.2857,32.5,0,0
"articolo 42 , inserire il seguente : « Art","Dopo l'articolo 42, è inserito il seguente : Art",25.7672,0.4689,0.7143,18.6,0,0
"Le elezioni presidenziali degli Stati Uniti del 1980 videro sfidarsi il democratico in carica Jimmy Carter e il suo avversario repubblicano Ronald Reagan, oltre al deputato repubblicano John B. Anderson, che si candidò come indipendente","Le elezioni presidenziali degli Stati Uniti del 1980 videro sfidarsi il democratico democratico Jimmy Kimmel e il suo candidato repubblicano John B. Fox, che si candida come indipendente dal candidato democratico John Buger",33.0809,0.2971,0.1356,7.6,0,0
"E infine , qual era la questione",E quale fu la questione,61.8056,0.5111,0.2857,21.4,0,0
"Questa è stata , francamente una sorpresa",è stata una vera sorpresa,69.7222,0.9146,0.4,23.6,0,0
E allora c' era una sola cosa da fare,C'è una sola cosa da fare,41.4286,0.3024,0.2,16.2,0,0
"È una questione di cultura , innanzitutto",È una questione di cultura,100.0,0.996,1.0,66.9,0,0
Questo vale per la musica,Questo può valere anche per la musica,31.5741,0.4509,0.1667,14.5,0,0
I guanti indossati dai giocatori di hockey su ghiaccio sono di tre tipi,I guanti di hockey su ghiaccio sono di tre tipi,18.2084,0.5952,0.4,27.5,0,0
"Le cose , purtroppo , stanno così",Tuttavia le cose stanno così,69.0476,0.6356,0.4444,35.0,0,0
"La Commissione prosegue l' esame del provvedimento , rinviato da ultimo nella seduta del 30 novembre 1999",La Commissione prosegue l'esame del provvedimento rinviato nella seduta del 30 novembre 1999,47.614,0.6838,0.8462,44.1,0,0
c' è solo una possibilità,Ma ci sono altre possibilità,50.6944,0.2,0.0,12.7,0,0
"Ovviamente , dipende da quello che si vuol fare",Ovviamente dipende da quello che vuoi fare,59.6429,0.4709,0.4615,22.8,0,0
I fatti dovrebbero essere questi,Adesso il fatto è questo,89.3056,0.7938,0.6667,66.9,0,0
La caccia alla lepre è consentita dal 19 settembre al 30 dicembre 2004,La caccia alla lepre è consentita dal 19 settembre al 30 dicembre 2004,61.2795,0.9295,0.7826,48.8,0,0
"Sull' ordine dei lavori è intervenuto , quindi , l' on",Sull'ordine dei lavori è intervenuto l'on,40.2778,0.4134,1.0,36.4,0,0
Non puoi far- ci niente,Non potevamo fare assolutamente niente,100.0,0.996,1.0,100.0,0,0
Il giudizio è pertanto nettamente positivo,Positivo è il mio giudizio,68.7698,0.7559,0.5714,19.4,0,0
"Non è così , o meglio : così non dev' essere","Non è così, non può essere così",57.9762,0.8779,0.8,24.4,0,0
Ma non è neanche questo il punto,Ma non è il punto,100.0,0.996,1.0,100.0,0,0
Lo sai che non era vero,Ma so che non è vero,78.836,0.5752,0.4444,43.0,0,0
"In alternativa, quando viene concessa una Licenza Reale per un trasferimento di armi, il cambiamento del cognome del cessionario in quello del cedente può essere consentito dalla Licenza stessa, senza bisogno di un atto notarile","In alternativa, quando viene concessi una Licenza reale per un trasferimento di armi, il cambiamento del numero del cedente può essere consentito dalla Licenzia stessa, senza bisogno di un atto notarile",32.9368,0.5913,0.3793,22.5,0,0
E anche questo non è cosa da poco,E questa non è l'unica cosa,44.1667,0.4574,0.0,16.3,0,0
"Che non è mica roba da poco , anzi",Non è roba da mezz'omm,67.8836,0.7938,0.5714,66.9,0,0
Il cuore mi batteva a mille,Il cuore le batteva a mille,66.6667,0.949,0.6667,38.0,0,0
E questa è un' altra tipica anomalia italiana,è un'altra anomalia italiana,55.5952,0.3233,0.8571,24.9,0,0
Non sarebbe una grande conquista,Non è una nostra conquista,76.0847,0.6356,0.2857,35.0,0,0
"La seduta è tolta ( ore 12,30","La seduta è tolta alle ore 19, 30",81.9444,0.8314,0.6667,58.7,0,0
"Anzi , sono contrario ad entrambe","Anzi, fu il contrario",73.6111,0.75,0.4,30.2,0,0
ma ha dell' incredibile,Ma ha dell'incredibile,24.1667,0.0877,0.5714,0.0,0,0
Cosa si può fare a questo punto,Cosa posso fare a questo punto,66.6667,0.8067,0.6,53.7,0,0
"Conseguentemente , sopprimere l' articolo 3",Conseguentemente l'articolo 3 è soppresso,51.8452,0.5515,1.0,35.0,0,0
E non sarà una cosa volgare,Non deve essere una cosa assoluta,19.3056,0.4259,0.2,16.2,0,0
"certo non è un delitto , anzi",Non è mica un delitto,100.0,0.996,1.0,100.0,0,0
La cosa mi sembra difficile,La cosa mi sembra molto strana,35.4167,0.4259,0.2,9.7,0,0
Mi scuso per la lunghezza del messaggio,scusate la lunghezza del messaggio,39.3519,0.5515,0.4,28.6,0,0
c' è un lutto nel paese,Il mio paese è in lutto,71.4286,0.526,0.2222,18.0,0,0
Un sorriso si allargò sul volto dell' altro,Un sorriso si allarga sui loro volti,50.1389,0.3235,0.1538,12.6,0,0
Dov' è il problema,E il problema dov'è,9.7222,0.7014,0.3333,19.4,0,0
Questa però non è una regola,Ma non è certo una regola,66.2698,0.625,0.25,32.5,0,0
"La presente legge è dichiarata urgente , ai sensi dell' articolo 45 dello Statuto , ed entra in vigore il giorno successivo a quello della sua pubblicazione sul Bollettino Ufficiale della Regione",La presente legge è dichiarata urgente ai sensi dell'articolo 45 dello Statuto regionale ed entra in vigore il giorno successivo alla sua pubblicazione sul Bollettino Ufficiale della Regione,54.4501,0.8552,0.8462,65.8,0,0
Questo è un film da vedere,è sicuramente un bel film da vedere,45.0,0.6098,0.2222,16.5,0,0
La proposta è stata accolta all' unanimità,La proposta viene accolta all'unanimità,49.7619,0.433,0.8,32.6,0,0
All' udienza del 27 aprile 2001 la causa è stata trattenuta per la decisione,Alla pubblica udienza del 27 aprile 2001 la causa veniva trattenuta in decisione,98.3333,0.9998,1.0,100.0,0,0
E dov' è la novità,E dov'è la novità,18.6508,0.83,0.6667,24.9,0,0
"Gli effetti del presente contratto decorrono dal giorno successivo a quello della sua definitiva sottoscrizione , salvo diversa prescrizione contenuta nello stesso","Gli effetti giuridici decorrono dal giorno della sottoscrizione, salvo diversa prescrizione del presente contratto",100.0,0.9999,1.0,100.0,0,0
"Sospendo , pertanto , la seduta fino alle ore 22,15","Sospendo pertanto la seduta fino alle ore 22, 15",78.6111,0.8524,0.75,63.9,0,0
"Queste operazione, insieme ad altre complementari come il rafforzamento dei litorali, il rialzo di rive e pavimentazioni e la riqualificazione della laguna, dovrebbero permettere la difesa della città di Venezia da eventi estremi come le alluvioni e come il degrado morfologico, per il quale la laguna sta progressivamente cedendo al mare, e l'abbassamento del livello del suolo","Queste operazioni, insieme a quello dei poggiamenti, il rialzo di superficie e la riqualificazione della città, consentono alla difesa della città di Venezia e di il degrado del livello del mare, per il quale la città sta degrado e il degrado morfologico, e il declino del livello qualità del mare",17.6631,0.4634,0.3019,27.0,0,0
Questa è un' altra storia,è tutta un'altra storia,43.6111,0.4406,1.0,27.5,0,0
Forse piano piano cambierebbero un pò le cose,Allora forse le cose cambieranno,56.8452,0.3178,0.2222,17.5,0,0
Forse questo è il rovescio della stessa medaglia,È il rovescio della medaglia,100.0,0.996,1.0,100.0,0,0
Le riassumo in alcuni punti essenziali,Ne riassumo qui alcuni punti essenziali,79.6429,0.7782,0.6667,50.8,0,0
"Poi , tutti sappiamo come è andata a finire , purtroppo",Sappiamo poi come è andata a finire,66.4092,0.9654,0.6667,64.3,0,0
Non può svolger- si in contrasto con l' utilità sociale o in modo da recare danno alla sicurezza alla libertà alla * dignità umana,Non può svolger - si in contrasto con l'utilità sociale o in modo da rendere danno alla libertà alla libertà umana,29.4312,0.5436,0.7143,24.3,0,0
"Qualcuno doveva prendere in mano la situazione , Ben",Devo prendere in mano la situazione,60.1058,0.6615,0.6,50.8,0,0
"Certo , ora i tempi sono cambiati",Oggi invece i tempi sono cambiati,62.963,0.7782,0.6667,50.8,0,0
Ma questa non è l' unica soluzione,Non è questa la soluzione,40.8333,0.3758,0.0,19.4,0,0
Ma questi sono solo dettagli,Ma questi sono tutti dettagli,33.3333,0.0,0.0,4.4,0,0
Mi puoi parlare di una tua esperienza,Puoi parlar - ci di quell'esperienza,39.4444,0.5011,0.0,9.7,0,0
La partecipazione degli adulti è rigorosamente gratuita,La partecipazione degli adulti è gratuita,100.0,0.9977,1.0,100.0,0,0
"La seduta , sospesa alle 8.05 , è ripresa alle 8.30",La seduta sospesa alle 15. 30 è ripresa alle 16. 05,71.1806,0.736,1.0,28.0,0,0
"In caso di persistente parità , si procederà al sorteggio",In caso di ulteriore parità si procede per sorteggio,88.8889,0.8819,0.75,75.1,0,0
Intanto continua ad arrivare gente,E intanto continua ad arrivare,43.4722,0.5889,0.5,39.8,0,0
Secondo me ne vale veramente la pena,Secondo me vale la pena,100.0,0.996,1.0,100.0,0,0
"Beh , questa è una domanda strettamente calcistica",Questa è una bella domanda,66.6667,0.75,0.3333,42.7,0,0
"Anzi , sarebbe stato triste il contrario",È vero proprio il contrario,66.6667,0.5111,0.3333,21.4,0,0
La ragione di questo era molto semplice,La ragione è molto semplice,49.213,0.75,0.5714,30.2,0,0
"Un relativismo che "" non è nichilismo , al contrario",Un relativismo che non è un contrario,20.406,0.3995,0.0,13.5,0,0
Non se ne potrebbe fare a meno,Non poteva far - ne a meno,69.697,0.4747,0.5,21.2,0,0
Questa è una domanda ovviamente senza risposta,È una domanda senza risposta,53.2407,0.6313,0.6667,23.6,0,0
Questo è un altro problema ancora,Ma è stato un problema,25.754,0.3,0.0,12.7,0,0
Non sarebbe sicuramente la stessa cosa,Ma non era la stessa cosa,66.6667,0.625,0.4444,30.2,0,0
capite che non è cosa da poco,Capirete che non è cosa facile,51.5476,0.6464,0.2222,20.5,0,0
Vorrei por- le un' ulteriore domanda,Le volevo quindi porre una domanda,60.5556,0.6189,0.2222,16.2,0,0
La mia è un' idea corretta,la mia era solo un'idea,49.1667,0.0847,0.0,8.7,0,0
"Dopo la battaglia di Gaza del giugno 2007, i funzionari eletti di Hamas sono stati estromessi dalle loro posizioni nel governo dell'Autorità Nazionale Palestinese in Cisgiordania e sostituiti da membri rivali di Fatah e da indipendenti. Hamas ha mantenuto il controllo di Gaza","Dopo la battaglia di Gaza del giugno 2007, i funzionari del governo hanno dichiarato che i funzionari locali sono stati estromessi dalle loro posizioni nel governo di Fatah e da altri partiti",33.1389,0.1124,0.037,3.5,0,0
"Il sito , ovviamente , è in inglese",Il sito è in inglese e italiano,62.4369,0.6543,0.3333,21.8,0,0
"Dopo l' articolo 8 , inserire il seguente : « Art",Dopo l'articolo 8 inserire i seguenti : « Art,22.0536,0.1852,0.4286,6.0,0,0
In attesa di una vostra risposta vi saluto cordialmente e vi ringrazio,In attesa di una vostra risposta ringrazio e saluto,58.2783,0.7619,0.4444,41.4,0,0
Questo non è assolutamente sufficiente,Ma non poteva essere sufficiente,59.4444,0.535,0.2222,20.8,0,0
Perché non può far- lo da solo,Ma non può fare da solo,88.1944,0.83,0.8,76.0,0,0
"Non sarà un problema , comunque",Non è un problema nominalistico,68.1151,0.5515,0.25,20.3,0,0
Qui c' è solo un fiume,C'è un fiume,62.9167,0.487,0.25,0.0,0,0
Questo è un esempio per tutti,Questo è un piccolissimo esempio,55.5556,0.535,0.0,20.8,0,0
"Si riserva , quindi , di presentare una proposta di parere nel prosieguo dell' esame",Si riserva di presentare un proposta di parere nel prosieguo dell'esame,47.0587,0.6993,0.8182,53.7,0,0
"Invece , purtroppo , le sorprese non sono finite",Ma le sorprese non sono finite qui,66.6667,0.9577,0.8,41.1,0,0
"Non saprei dar- le una risposta , sinceramente",Non sa dar - si una risposta,61.25,0.3651,0.1818,13.1,0,0
"In particolare si dedicò al seminario diocesano e ne modificò l'insegnamento, chiamando da Bagnoregio il professor don Pietro Artemi per la scuola di retorica, ne curò la pulizia dei locali e pensò ad ingrandirne il fabbricato con l'acquisto del palazzo Cristofari","In particolare si pensò al seminarista e ne modifichiò l'insegnamento, chiamando da Bagnoli il professore, e ne curò la ricerca dei locali e pensò ad ingrandire il palazzo con l'acquisto di edifici pubblici",15.0914,0.5448,0.32,20.1,0,0
"Allora , qual è oggi la situazione",Quale è la situazione oggi,57.3611,0.6356,0.2857,19.4,0,0
Puoi far- ci un caso concreto,Può fare un caso concreto,100.0,0.996,1.0,100.0,0,0
Questo non è l' unico caso,Non è l'unico caso,19.3056,0.3814,0.8571,11.5,0,0
La collocazione editoriale delle pubblicazioni è appena sufficiente,La collocazione editoriale delle pubblicazioni è sufficiente,49.8611,0.6127,0.3636,26.6,0,0
Le leggi antisemitiche si susseguivano l’una all’altra,Le leggi antisemitiche si alternavano l ’ una all ’ altra,43.0556,0.1576,0.1053,6.8,0,0
Ma certo questa sarebbe una complicazione,Ma è una complicazione in più,62.963,0.4574,0.0,19.3,0,0
Ma ci sono ancora incertezze,Ci sono ancora troppe incertezze,45.1389,0.4331,0.2222,19.4,0,0
Casomai ne parleremo un' altra volta,Ne parleremo un'altra volta,34.623,0.1493,0.4444,9.7,0,0
La strada aperta non è quindi ignota,La strada non è quindi ignota,61.9444,0.7782,0.5714,50.8,0,0
"Nata a Roma , nel 1968",Nato a Roma nel 1968,80.5556,0.7938,0.75,66.9,0,0
"Può , inoltre , fare proposte di legge alle Camere",Può fare proposte di legge alle Camere,81.078,0.8757,1.0,72.9,0,0
La verità è là fuori,La verità è tutt'altra,61.3095,0.5215,0.3333,46.3,0,0
"La realtà , naturalmente , non è così semplice",La realtà non è così semplice,100.0,0.9977,1.0,100.0,0,0
Dovranno far- lo più volte,Dovranno far - lo lo più volte,31.9444,0.0962,0.2222,6.6,0,0
Si potrebbe dire in altro modo,Lo si può dire in un altro modo,79.8166,0.7014,0.6154,51.7,0,0
"Al comma 2 , sopprimere la parola : rappresentativi",Al comma 2 sopprimere la parola : rappresentative,100.0,0.999,1.0,100.0,0,0
L' appuntamento è per domani alle 17,L'appuntamento ora è per il 17,62.996,0.5752,0.4,43.0,0,0
La cosa importante però è un' altra,Ma la cosa più buffa è un'altra,49.6296,0.4747,0.5455,14.5,0,0
E questo sarebbe un bene o un male,È un bene o un male,88.1313,0.8676,0.8889,64.3,0,0
"In attesa di riscontro , si porgono cordiali saluti","In attesa di un vostro cortese riscontro, le porgo i miei distinti saluti",43.373,0.5943,0.2105,7.1,0,0
Questo è per me l' amore,Il suo amore per me è grande e fedele,64.9285,0.5512,0.3636,29.8,0,0
Ma nella realtà le cose stanno un pò diversamente,Ma nella realtà le cose stanno un pò diversamente,49.9158,0.7683,0.4615,31.6,0,0
"Sostituire il comma 6 , con il seguente : 6",Sostituire il comma 6 con il seguente,91.0317,0.8512,0.9231,86.7,0,0
Avevo un quesito da por- le,Ho da porre un quesito,100.0,0.996,1.0,100.0,0,0
44 ] Ma Gesù stesso aveva dichiarato che un profeta non riceve onore nella sua patria,44 Ma Gesù stesso aveva dichiarato che un profeta non riceve onore nella sua patria,100.0,0.9999,1.0,100.0,0,0
"Oggi , per questo , sono previste anche altre manifestazioni","Per questo, sono previste altre manifestazioni",63.1166,0.7934,0.6,43.5,0,0
"Non è questo un grande problema , comunque",Non è un problema politico,81.9444,0.7938,0.6667,66.9,0,0
Questo è un fatto estremamente positivo,È comunque un fatto positivo,58.0556,0.75,0.6667,39.8,0,0
"Le spese dei due gradi del giudizio , tuttavia , sussistendo giusti motivi , possono essere compensate fra le parti",Sussistono giusti motivi per compensare tra le parti le spese dei due gradi del giudizio,82.0478,0.8762,0.7586,69.0,0,0
"Che cos' è la "" tradizione",Che cos'è la tradizione,39.7222,0.8535,0.5714,21.4,0,0
"articolo 2 , inserire il seguente : « Art","Dopo l'articolo 2, è inserito il seguente : Art",33.1944,0.1835,0.4286,5.9,0,0
Tuttavia non è così semplice,Ma non deve essere così semplice,100.0,0.9977,1.0,100.0,0,0
Questo sarebbe però soltanto il primo passo,E questo sarà solo il primo passo,77.1429,0.7934,0.6,41.1,0,0
"Chiediamo , infine , la verifica del numero legale",Chiedo infine la verifica del numero legale,67.3611,0.6692,0.6154,46.2,0,0
"All' articolo 15 , il comma 4 è soppresso",Nell'articolo 15 è soppresso il comma 4,39.7756,0.6392,0.6667,27.9,0,0
è appunto questo il problema,Questo sarà il grande problema,50.8929,0.2542,0.0,11.5,0,0
è soprattutto una devastante realtà,Questa è una realtà terribile,68.75,0.5111,0.0,23.6,0,0
"Schulz, della contea di Larimer, ha attribuito l'aumento del numero di dispersi alla crescente preoccupazione di parenti e amici",Schulz dice che il fatto che ci siano più persone scomparse deriva dalla preoccupazione dei loro parenti e amici,46.0128,0.3322,0.1667,10.7,0,0
"Dostoevskij, la cui opera è spesso considerata un precursore filosofico dell'esistenzialismo, ha spesso espresso una preoccupazione simile nei suoi romanzi",Dostokovich è spesso considerato un precursore del precursore filosofico dell'esistenzialismo,7.0317,0.2457,0.2857,6.7,0,0
Questo può essere utilizzato per scalare le virgolette grafiche verso l'alto o verso il basso per adattarle a citazioni più grandi o più piccole,Questo può essere utilizzato per scalare le virule grafiche verso l'alto o verso il basso o verso la basso,21.9306,0.5437,0.6047,48.2,0,0
Vi faccio un esempio concreto,Faccio un esempio concreto,44.6429,0.5215,0.2857,27.5,0,0
Ma la sfida è stata lanciata,La grande sfida è lanciata,100.0,0.996,1.0,100.0,0,0
Questo è un problema delicato,Questo è un nostro problema,13.75,0.5111,0.0,23.6,0,0
E c' è una grande differenza,E c'è una grande differenza,43.75,0.3846,0.0,14.1,0,0
Ora tutti sanno che è andata a finire,Sappiamo che è andata a finire,65.6614,0.8067,0.5,53.7,0,0
Poi però la situazione è precipitata,Allora la situazione è precipitata,66.6667,0.7938,0.6667,66.9,0,0
Nessuno è stato in grado di stabilire se si siano presentate 20.000 o 30.000 persone,Neanche se si è in grado di stabilire se si sono presentate 20. 000 persone,17.8909,0.5699,0.5714,33.3,0,0
"Non devono pensare , altrimenti sono guai","Non dobbiamo pensare, altrimenti saranno guai",26.8939,0.3279,0.2,9.3,0,0
Perché il tuo compito non sarà facile,Questo compito non sarà facile,25.873,0.6356,0.4444,32.6,0,0
"Si passa , quindi , alla votazione degli emendamenti all' articolo 3",Si passa quindi alla votazione degli emendamenti relativi all'articolo 3,38.9749,0.6724,0.6667,32.5,0,0
Si ringrazia per l' attenzione e si inviano cordiali saluti,Si ringrazia per l'attenzione e si inviano cordiali saluti,23.3796,0.2581,0.3529,10.6,0,0
E non sarebbe una differenza di poco conto,La differenza non è di poco conto,46.1869,0.8036,0.4,27.8,0,0
Forse sarebbe la stessa cosa,è proprio la stessa cosa,70.8333,0.75,0.6667,39.8,0,0
"La Commissione prosegue l' esame , rinviato da ultimo nella seduta del 26 novembre 2003",La Commissione prosegue l'esame rinviato nella seduta del 26 novembre 2003,44.5304,0.6448,0.8182,29.0,0,0
"Era solo una bambina , dopo tutto",Era solo una bambina bambina,53.8889,0.6313,0.5,42.7,0,0
Mi sarebbe veramente di aiuto,Mi è stata di grande aiuto,76.3107,0.6464,0.2222,29.1,0,0
"Il bilancio consuntivo è costituito dalla relazione sulla gestione , lo stato patrimoniale , il conto economico e la nota integrativa","Il bilancio consuntivo è costituito dalla relazione sulla gestione, lo stato patrimoniale, il conto economico e la nota integrativa",70.1576,0.8821,0.8,74.2,0,0
"La passera di mare è caratterizzata da una pelle liscia e marrone, da macchie rosse e da una cresta ossea dietro gli occhi","La passera di mare è caratterizzata da una pelle bianca, marrone e chiara, da una cresta bianca dietro gli occhi",21.7038,0.7231,0.5641,47.3,0,0
Nessuno ha detto il contrario,nessuno ha detto il contrario,46.2963,0.75,0.5,23.6,0,0
E questo probabilmente non è un bene,E non è un bene,100.0,0.996,1.0,100.0,0,0
Ti ringrazio anticipatamente della risposta,Ti ringrazio per la tua risposta,55.754,0.5011,0.2222,18.0,0,0
Dov' è il trucco,Dove è allora il trucco,100.0,0.996,1.0,100.0,0,0
E come può fare questo,E come può fare questo,50.463,0.5515,0.4444,35.0,0,0
Non mi tornano i conti,Altrimenti i conti non tornano,66.6667,0.535,0.2222,20.8,0,0
"Saulchery è un comune del dipartimento dell'Aisne, in Piccardia, nel nord della Francia","Saulyy è un comune. Si trova nella regione Picardie, nel dipartimento dell'Aisne, nel nord della Francia",89.5738,0.9473,0.9333,94.3,0,0
"Dichiara , quindi , conclusa la seduta",Dichiara quindi conclusa la seduta,100.0,0.996,1.0,100.0,0,0
Per ora sono limitati a due combinazioni di colori e possono cantare tre nuove canzoni e ballare,Sono limitati a due combinazioni di colori e possono cantare tre canzoni diverse,25.6174,0.7095,0.7143,55.4,0,0
"Rinvia , pertanto , ad altra seduta il seguito della discussione",Rinvia quindi il seguito della discussione ad altra seduta,66.1111,0.7687,0.625,29.8,0,0
Anche questo è un effetto della globalizzazione,Questo è un effetto della globalizzazione,50.4924,0.7014,0.5,38.0,0,0
"Com' è la situazione , oggi",ed ora com'è la situazione,27.7778,0.8164,0.5714,21.4,0,0
Non è una novità irrilevante,Non è una novità assoluta,83.3333,0.6468,0.75,44.8,0,0
Adesso il tempo è finito,Il tempo debito è finita,25.1984,0.5111,0.3333,12.7,0,0
